Source,Target,Type,Rota de ligacao
109,110,Undirected,202
109,112,Undirected,220
109,110,Undirected,22
109,110,Undirected,263
109,140,Undirected,500
109,140,Undirected,555
109,110,Undirected,660
109,110,Undirected,66
110,111,Undirected,202
110,111,Undirected,222
110,111,Undirected,22
110,111,Undirected,263
110,111,Undirected,550
110,111,Undirected,660
110,111,Undirected,66
111,130,Undirected,202
111,112,Undirected,222
111,118,Undirected,22
111,112,Undirected,263
111,133,Undirected,550
111,112,Undirected,660
111,112,Undirected,66
112,113,Undirected,220
112,113,Undirected,222
112,113,Undirected,263
112,113,Undirected,660
112,113,Undirected,66
113,114,Undirected,220
113,132,Undirected,222
113,130,Undirected,263
113,114,Undirected,660
113,124,Undirected,66
114,115,Undirected,220
114,115,Undirected,660
115,116,Undirected,220
115,116,Undirected,660
116,117,Undirected,220
116,117,Undirected,660
117,118,Undirected,220
117,130,Undirected,660
118,119,Undirected,220
118,119,Undirected,22
119,120,Undirected,220
119,120,Undirected,22
120,122,Undirected,220
120,122,Undirected,22
121,132,Undirected,55
122,123,Undirected,220
122,123,Undirected,22
123,130,Undirected,220
123,124,Undirected,22
124,125,Undirected,22
124,125,Undirected,66
125,126,Undirected,22
125,126,Undirected,66
126,127,Undirected,22
126,127,Undirected,66
127,128,Undirected,22
127,128,Undirected,66
128,129,Undirected,22
128,129,Undirected,66
129,130,Undirected,22
129,130,Undirected,66
130,131,Undirected,202
130,131,Undirected,220
130,131,Undirected,22
130,131,Undirected,263
130,131,Undirected,660
130,131,Undirected,66
131,132,Undirected,202
131,132,Undirected,220
131,132,Undirected,22
131,132,Undirected,263
131,132,Undirected,660
131,132,Undirected,66
132,133,Undirected,202
132,135,Undirected,220
132,133,Undirected,222
132,133,Undirected,22
132,133,Undirected,263
132,134,Undirected,55
132,133,Undirected,660
132,133,Undirected,66
133,135,Undirected,202
133,135,Undirected,222
133,135,Undirected,22
133,135,Undirected,263
133,137,Undirected,550
133,135,Undirected,660
133,135,Undirected,66
134,135,Undirected,55
135,136,Undirected,202
135,136,Undirected,220
135,136,Undirected,222
135,136,Undirected,22
135,136,Undirected,263
135,136,Undirected,55
135,136,Undirected,660
135,136,Undirected,66
136,137,Undirected,202
136,137,Undirected,220
136,137,Undirected,222
136,137,Undirected,22
136,137,Undirected,263
136,137,Undirected,55
136,137,Undirected,660
136,137,Undirected,66
137,138,Undirected,202
137,138,Undirected,220
137,138,Undirected,222
137,138,Undirected,22
137,138,Undirected,263
137,138,Undirected,505
137,138,Undirected,550
