310,CONSUL JOSEPH NOUJUAIN HABIB NACAD,POSTO - OPOSTO,1,4,,,,,,,,,,,,,,-7.238.069.018.349.050,-35.884.052.999.317.600
311,CONSUL JOSEPH NOUJUAIN HABIB NACAD,GRANVIDROS,1,4,,,,,,,,,,,,,,-7.241.297.978.907.820,-35.884.092.980.995.700
324,JOAO QUIRINO,78,1,4,,,,,,,,,,,,,,-7.235.311.958.938.830,-35.882.791.019.976.100
325,JOAO QUIRINO,528,1,4,,,,,,,,,,,,,,-7.235.163.012.519.470,-35.880.266.977.474.000
326,JOAO QUIRINO,706,2,4,245,,,,,,,,,,,,,-7.235.107.021.406.290,-35.878.808.023.408.000
327,JOAO QUIRINO,CENTRAL DE POLÍCIA,2,4,245,,,,,,,,,,,,,-7.233.825.009.316.200,-35.874.018.017.202.600
344,JOAO QUIRINO,CENTRAL DE POLÍCIA - OPOSTO,2,4,245,,,,,,,,,,,,SIM,-7.233.548.993.244.760,-35.873.816.013.336.100
345,JOAO QUIRINO,1060 - OPOSTO,2,4,245,,,,,,,,,,,,,-7.234.731.009.230.010,-3.587.572.599.761.180
346,JOAO QUIRINO,690 - OPOSTO,2,4,245,,,,,,,,,,,,,-7.234.984.980.896.110,-35.878.920.005.634.400
347,JOAO QUIRINO,260,1,4,,,,,,,,,,,,,,-7.235.106.015.577.910,-35.880.814.986.303.400
348,JOAO QUIRINO,ESCRITORIO DE ADVOCACIA,1,4,,,,,,,,,,,,,,-7.235.196.037.217.970,-35.882.698.986.679.300
353,VIDAL DE NEGREIROS,51,1,4,,,,,,,,,,,,,,-7.220.756.029.710.170,-35.882.995.035.499.300
567,FLORIANO PEIXOTO,PREFEITURA,4,4,404,400,444,,,,,,,,,,SIM,-7.219.176.962.971.680,-35.883.015.990.257.200
568,FLORIANO PEIXOTO,PREFEITURA,4,4,404,400,444,,,,,,,,,,SIM,-7.219.176.962.971.680,-35.883.015.990.257.200
581,VIGARIO CALIXTO,3800,3,4,404,444,,,,,,,,,,,SIM,-7.254.010.979.086.160,-35.878.914.976.492.500
723,LUIZ SODRE FILHO,435,1,4,,,,,,,,,,,,,,-7.244.320.996.105.670,-35.877.939.993.515.600
724,LUIZ SODRE FILHO,01 - OPOSTO,1,4,,,,,,,,,,,,,SIM,-724.455.401.301.384,-3.587.570.495.903.490
725,LUIZ SODRE FILHO,18 - OPOSTO,1,4,,,,,,,,,,,,,,-7.244.596.006.348.720,-35.874.790.996.313.000
727,ANTONIO GUEDES DE ANDRADE,103 - VIZINHO,1,4,,,,,,,,,,,,,,-7.227.818.034.589.290,-35.880.234.036.594.600
728,PAULO DE FRONTEIN,SESC - OPOSTO,1,4,,,,,,,,,,,,,SIM,-7.227.791.966.870.420,-3.588.231.903.500.850
733,OTACILIO NEPOMUCENO,OC CONTABILIDADE - OPOSTO,1,4,,,,,,,,,,,,,,-7.229.913.007.467.980,-3.587.634.801.864.620
734,OTACILIO NEPOMUCENO,AUTOMOTIVA - OPOSTO,1,4,,,,,,,,,,,,,SIM,-7.231.164.006.516.330,-35.875.320.984.050.600
735,OTACILIO NEPOMUCENO,490,1,4,,,,,,,,,,,,,,-7.232.483.988.627.790,-3.587.424.399.331.210
736,DOUTOR JOAO PEQUENO,32,1,4,,,,,,,,,,,,,,-7.233.873.037.621.370,-35.876.737.022.772.400
737,LUIZ SODRE FILHO,12,1,4,,,,,,,,,,,,,,-7.244.528.029.114.000,-35.874.537.024.646.900
738,LUIZ SODRE FILHO,276,1,4,,,,,,,,,,,,,,-7.244.337.005.540.720,-35.876.901.978.626.800
